race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),47,No,Male,Right,Other or not provided,US,2,4,5,2,4,4,4,2,2,3,3,3,4,2,4,2,4,1,2,2,4,4,1,5,1,5,2,5,4,4,2,2,3,4,2,4,3,2,2,3,3,2,4,2,5,2,5,2,5,4,32,29,43,27,40,64.0,58.0,86.0,54.0,80.0
Caucasian (Indian),17,No,Male,Right,Another page,IN,3,5,4,4,3,4,2,5,4,5,5,4,5,3,4,5,5,5,4,4,4,5,4,5,2,5,4,5,5,5,3,2,5,5,2,4,3,3,3,4,3,3,5,3,3,4,3,4,5,3,23,42,40,30,34,46.0,84.0,80.0,60.0,68.0
South East Asian,45,No,Male,Right,Another page,US,4,4,4,2,3,2,4,4,5,3,2,4,4,4,1,2,1,1,2,2,1,3,1,5,2,5,2,5,5,5,4,1,5,1,5,1,5,1,5,5,4,1,4,1,5,4,5,1,5,3,35,19,46,49,39,70.0,38.0,92.0,98.0,78.0
Caucasian (European),32,Yes,Female,Right,Google,US,2,2,5,2,4,3,2,5,1,2,5,1,5,2,4,4,5,5,4,4,1,4,3,4,1,4,2,5,4,2,4,1,5,1,4,5,5,3,5,5,4,4,2,2,3,2,4,4,2,2,30,45,40,42,31,60.0,90.0,80.0,84.0,62.0
Caucasian (European),23,No,Female,Right,Google,NO,3,1,5,2,5,1,3,3,3,2,3,4,4,3,3,3,4,3,3,3,1,5,2,5,1,2,1,5,5,4,2,4,4,2,3,4,2,3,1,4,3,2,4,1,4,3,4,4,5,3,40,31,45,27,39,80.0,62.0,90.0,54.0,78.0
South East Asian,23,Yes,Female,Right,Another page,US,4,1,4,2,4,1,2,2,5,4,4,2,5,5,1,2,2,1,1,1,2,5,1,5,2,4,1,3,4,5,3,3,4,2,2,3,3,2,3,4,3,2,4,2,4,1,4,3,2,4,39,22,44,33,37,78.0,44.0,88.0,66.0,74.0
Caucasian (European),14,Yes,Female,Right,Another page,US,1,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,5,1,3,1,5,2,5,2,4,4,3,4,3,3,4,3,4,5,2,5,4,4,2,5,2,2,1,4,5,4,5,25,48,42,35,42,50.0,96.0,84.0,70.0,84.0
Caucasian (European),19,Yes,Male,Right,Another page,IE,5,2,2,3,2,2,5,5,3,5,4,5,5,2,4,3,3,2,3,3,3,4,3,5,2,4,1,4,4,3,3,5,3,3,1,5,4,4,2,2,4,1,5,1,4,1,5,4,5,4,30,32,39,22,46,60.0,64.0,78.0,44.0,92.0
Caucasian (European),15,Yes,Female,Right,Another page,NZ,1,4,2,4,3,5,3,5,2,5,5,3,5,3,2,5,5,5,4,1,2,5,1,5,1,3,1,4,4,3,3,5,3,5,1,5,3,3,3,4,2,3,4,2,4,3,3,3,5,3,18,38,43,23,34,36.0,76.0,86.0,46.0,68.0
Caucasian (European),49,No,Female,Right,Another page,FI,3,2,4,4,5,2,4,4,2,2,4,4,4,4,3,2,2,2,4,2,3,4,2,4,4,4,2,3,3,4,2,5,3,4,1,5,3,4,2,2,5,1,4,1,4,2,5,5,5,4,34,27,35,19,46,68.0,54.0,70.0,38.0,92.0
Caucasian (Middle East),47,Yes,Female,Left,Google,US,1,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,5,2,4,1,4,2,5,1,4,4,5,3,4,5,2,1,4,4,1,3,5,3,3,5,2,5,1,5,3,5,5,13,36,44,34,43,26.0,72.0,88.0,68.0,86.0
Caucasian (European),23,No,Female,Right,Google,BE,3,4,4,3,4,1,1,5,1,5,5,4,5,3,4,5,3,1,5,3,1,5,1,5,1,5,1,3,5,5,4,4,5,1,1,2,4,1,3,4,5,4,3,4,2,2,4,4,4,3,25,36,48,37,33,50.0,72.0,96.0,74.0,66.0
Caucasian (European),19,No,Female,Right,Another page,FI,1,5,2,5,2,2,1,5,1,4,5,1,5,1,5,4,2,2,4,5,3,2,5,2,3,3,4,2,2,2,4,2,5,3,2,2,4,4,4,4,4,3,5,3,4,1,4,4,4,4,16,42,22,36,40,32.0,84.0,44.0,72.0,80.0
Caucasian (European),36,Yes,Male,Right,Another page,US,3,2,1,3,5,2,1,5,2,5,4,3,5,3,4,3,3,3,5,3,1,5,4,4,1,4,2,5,4,3,5,2,4,2,4,1,5,1,5,5,5,4,3,2,4,3,4,5,4,4,25,36,41,46,38,50.0,72.0,82.0,92.0,76.0
Caucasian (European),21,Yes,Female,Right,Another page,GB,2,3,4,2,4,1,4,4,4,4,5,1,5,1,1,5,5,4,3,5,1,5,2,5,1,4,1,5,5,3,4,5,2,5,2,5,4,3,2,3,4,2,5,2,4,1,5,4,5,4,34,43,46,23,44,68.0,86.0,92.0,46.0,88.0
Caucasian (European),21,No,Female,Right,Another page,BE,3,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,1,5,5,5,1,3,1,5,5,3,3,5,5,5,1,5,4,1,5,5,5,1,5,1,4,1,5,5,5,5,35,46,42,31,49,70.0,92.0,84.0,62.0,98.0
Caucasian (European),13,Yes,Male,Right,Another page,GB,3,4,3,3,3,5,2,5,3,4,5,4,5,1,4,5,5,5,5,5,2,2,4,3,2,3,4,3,3,4,3,3,4,4,3,4,3,3,3,3,4,1,4,1,2,2,4,4,5,3,23,46,30,29,40,46.0,92.0,60.0,58.0,80.0
